"","t","k"
"4969",1243,14
"4973",1244,14
"4977",1245,14
"4981",1246,14
"4985",1247,14
"4989",1248,14
"4993",1249,14
"4997",1250,14
"5001",1251,14
"5005",1252,14
"5009",1253,14
"5013",1254,14
"5017",1255,14
"5021",1256,14
"5025",1257,14
"5029",1258,14
"5033",1259,14
"5037",1260,14
"5041",1261,14
"5045",1262,14
"5049",1263,14
"5053",1264,14
"5057",1265,14
"5061",1266,14
"5065",1267,14
"5069",1268,14
"5073",1269,14
"5077",1270,14
"5081",1271,14
"5085",1272,14
"5089",1273,14
"5093",1274,14
"5097",1275,14
"5101",1276,14
"5105",1277,14
"5109",1278,14
"5113",1279,14
"5117",1280,14
"5121",1281,14
"5125",1282,14
"5129",1283,14
"5133",1284,14
"5137",1285,14
"5141",1286,14
"5145",1287,14
"5149",1288,14
"5153",1289,14
"5157",1290,14
"5161",1291,14
"5165",1292,14
"5169",1293,14
"5173",1294,14
"5177",1295,14
"5181",1296,14
"5185",1297,14
"5189",1298,14
"5193",1299,14
"5197",1300,14
"5201",1301,14
"5205",1302,14
"5209",1303,14
"5213",1304,14
"5217",1305,14
"5221",1306,14
"5225",1307,14
"5229",1308,14
"5233",1309,14
"5237",1310,14
"5241",1311,14
"5245",1312,14
"5249",1313,14
"5253",1314,14
"5257",1315,14
"5261",1316,14
"5265",1317,14
"5269",1318,14
"5273",1319,14
"5277",1320,14
"5281",1321,14
"5285",1322,14
"5289",1323,14
"5293",1324,14
"5297",1325,14
"5301",1326,14
"5305",1327,14
"5309",1328,14
"5313",1329,14
"5317",1330,14
"5321",1331,14
"5325",1332,14
"5329",1333,14
"5333",1334,14
"5337",1335,14
"5341",1336,14
"5345",1337,14
"5349",1338,14
"5353",1339,14
"5357",1340,14
"5361",1341,14
"5365",1342,14
"5369",1343,14
"5373",1344,14
"5377",1345,14
"5381",1346,14
"5385",1347,14
"5389",1348,14
"5393",1349,14
"5397",1350,14
"5401",1351,14
"5405",1352,14
"5409",1353,14
"5413",1354,14
"5417",1355,14
"5421",1356,14
"5425",1357,14
"5429",1358,14
"5433",1359,14
"5437",1360,14
"5441",1361,14
"5445",1362,14
"5449",1363,14
"5453",1364,14
"5457",1365,14
"5461",1366,14
"5465",1367,14
"5469",1368,14
"5473",1369,14
"5477",1370,14
"5481",1371,14
"5485",1372,14
"5489",1373,14
"5493",1374,14
"5497",1375,14
"5501",1376,14
"5505",1377,14
"5509",1378,14
"5513",1379,14
"5517",1380,14
"5521",1381,14
"5525",1382,14
"5529",1383,14
"5533",1384,14
"5537",1385,14
"5541",1386,14
"5545",1387,14
"5549",1388,14
"5553",1389,14
"5557",1390,14
"5561",1391,14
"5565",1392,14
"5569",1393,14
"5573",1394,14
"5577",1395,14
"5581",1396,14
"5585",1397,14
"5589",1398,14
"5593",1399,14
"5597",1400,14
"5601",1401,14
"5605",1402,14
"5609",1403,14
"5613",1404,14
"5617",1405,14
"5621",1406,14
"5625",1407,14
"5629",1408,14
"5633",1409,14
"5637",1410,14
"5641",1411,14
"5645",1412,14
"5649",1413,14
"5653",1414,14
"5657",1415,14
"5661",1416,14
"5665",1417,14
"5669",1418,14
"5673",1419,14
"5677",1420,14
"5681",1421,14
"5685",1422,14
"5689",1423,14
"5693",1424,14
"5697",1425,14
"5701",1426,14
"5705",1427,14
"5709",1428,14
"5713",1429,14
"5717",1430,14
"5721",1431,14
"5725",1432,14
"5729",1433,14
"5733",1434,14
"5737",1435,14
"5741",1436,14
"5745",1437,14
"5749",1438,14
"5753",1439,14
"5757",1440,14
"5761",1441,14
"5765",1442,14
"5769",1443,14
"5773",1444,14
"5777",1445,14
"5781",1446,14
"5785",1447,14
"5789",1448,14
"5793",1449,14
"5797",1450,14
"5801",1451,14
"5805",1452,14
"5809",1453,14
"5813",1454,14
"5817",1455,14
"5821",1456,14
"5825",1457,14
"5829",1458,14
"5833",1459,14
"5837",1460,14
"5841",1461,14
"5845",1462,14
"5849",1463,14
"5853",1464,14
"5857",1465,14
"5861",1466,14
"5865",1467,14
"5869",1468,14
"5873",1469,14
"5877",1470,14
"5881",1471,14
"5885",1472,14
"5889",1473,14
"5893",1474,14
"5897",1475,14
"5901",1476,14
"5905",1477,14
"5909",1478,14
"5913",1479,14
"5917",1480,14
"5921",1481,14
"5925",1482,14
"5929",1483,15
"5933",1484,15
"5937",1485,15
"5941",1486,15
"5945",1487,15
"5949",1488,15
"5953",1489,15
"5957",1490,15
"5961",1491,15
"5965",1492,15
"5969",1493,15
"5973",1494,15
"5977",1495,15
"5981",1496,15
"5985",1497,15
"5989",1498,15
"5993",1499,15
"5997",1500,15
"6001",1501,15
"6005",1502,15
"6009",1503,15
"6013",1504,15
"6017",1505,15
"6021",1506,15
"6025",1507,15
"6029",1508,15
"6033",1509,15
"6037",1510,15
"6041",1511,15
"6045",1512,15
"6049",1513,15
"6053",1514,15
"6057",1515,15
"6061",1516,15
"6065",1517,15
"6069",1518,15
"6073",1519,15
"6077",1520,15
"6081",1521,15
"6085",1522,15
"6089",1523,15
"6093",1524,15
"6097",1525,15
"6101",1526,15
"6105",1527,15
"6109",1528,15
"6113",1529,15
"6117",1530,15
"6121",1531,15
"6125",1532,15
"6129",1533,15
"6133",1534,15
"6137",1535,15
"6141",1536,15
"6145",1537,15
"6149",1538,15
"6153",1539,15
"6157",1540,15
"6161",1541,15
"6165",1542,15
"6169",1543,15
"6173",1544,15
"6177",1545,15
"6181",1546,15
"6185",1547,15
"6189",1548,15
"6193",1549,15
"6197",1550,15
"6201",1551,15
"6205",1552,15
"6209",1553,15
"6213",1554,15
"6217",1555,15
"6221",1556,15
"6225",1557,15
"6229",1558,15
"6233",1559,15
"6237",1560,15
"6241",1561,16
"6245",1562,16
"6249",1563,16
"6253",1564,16
"6257",1565,16
"6261",1566,16
"6265",1567,16
"6269",1568,16
"6273",1569,16
"6277",1570,16
"6281",1571,16
"6285",1572,16
"6289",1573,16
"6293",1574,16
"6297",1575,16
"6301",1576,16
"6305",1577,16
"6309",1578,16
"6313",1579,16
"6317",1580,16
"6321",1581,16
"6325",1582,16
"6329",1583,16
