"","t","k"
"5752",2437,12
"5756",2438,12
"5760",2439,12
"5764",2440,12
"5768",2441,12
"5772",2442,12
"5776",2443,12
"5780",2444,12
"5784",2445,12
"5788",2446,12
"5792",2447,12
"5796",2448,12
"5800",2449,12
"5804",2450,12
"5808",2451,12
"5812",2452,12
"5816",2453,12
"5820",2454,12
"5824",2455,12
"5828",2456,12
"5832",2457,12
"5836",2458,12
"5840",2459,12
"5844",2460,12
"5848",2461,12
"5852",2462,12
"5856",2463,12
"5860",2464,12
"5864",2465,12
"5868",2466,12
"5872",2467,12
"5876",2468,12
"5880",2469,12
"5884",2470,12
"5888",2471,12
"5892",2472,12
"5896",2473,12
"5900",2474,12
"5904",2475,12
"5908",2476,12
"5912",2477,12
"5916",2478,12
"5920",2479,12
"5924",2480,12
"5928",2481,12
"5932",2482,12
"5936",2483,12
"5940",2484,12
"5944",2485,12
"5948",2486,12
"5952",2487,12
"5956",2488,12
"5960",2489,12
"5964",2490,12
"5968",2491,12
"5972",2492,12
"5976",2493,12
"5980",2494,12
"5984",2495,12
"5988",2496,12
"5992",2497,12
"5996",2498,12
"6000",2499,12
"6004",2500,12
"6008",2501,12
"6012",2502,12
"6016",2503,12
"6020",2504,12
"6024",2505,12
"6028",2506,12
"6032",2507,12
"6036",2508,12
"6040",2509,12
"6044",2510,12
"6048",2511,12
"6052",2512,12
"6056",2513,12
"6060",2514,12
"6064",2515,12
"6068",2516,12
"6072",2517,12
"6076",2518,12
"6080",2519,12
"6084",2520,12
"6088",2521,12
"6092",2522,12
"6096",2523,12
"6100",2524,12
"6104",2525,12
"6108",2526,12
"6112",2527,12
"6116",2528,12
"6120",2529,12
"6124",2530,12
"6128",2531,12
"6132",2532,12
"6136",2533,12
"6140",2534,12
"6144",2535,12
"6148",2536,12
"6152",2537,12
"6156",2538,12
"6160",2539,12
"6164",2540,12
"6168",2541,12
"6172",2542,12
"6176",2543,12
"6180",2544,12
"6184",2545,12
"6188",2546,12
"6192",2547,12
"6196",2548,12
"6200",2549,12
"6204",2550,12
"6208",2551,12
"6212",2552,12
"6216",2553,12
"6220",2554,12
"6224",2555,12
"6228",2556,12
"6232",2557,12
"6236",2558,12
"6240",2559,12
"6244",2560,12
"6248",2561,12
"6252",2562,12
"6256",2563,12
"6260",2564,12
"6264",2565,12
"6268",2566,12
"6272",2567,12
"6276",2568,12
"6280",2569,12
"6284",2570,12
"6288",2571,12
"6292",2572,12
"6296",2573,12
"6300",2574,12
"6304",2575,12
"6308",2576,12
"6312",2577,12
"6316",2578,12
"6320",2579,12
